Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Positive Regulation Of Cell Adhesion (GO:0045785),-0.9325497784986616,-1.6490592093570684,1.655629e-02,2.668530e-01,3.260000e-01,1/5,0.40%,IBSP
prerank,Nervous System Development (GO:0007399),0.8307896616281607,1.6057763335493134,2.386635e-03,5.218766e-02,3.800000e-02,6/15,11.80%,MAMDC2;NRXN1;GRIK1;ACVR1C;PROX1;CNTN6
prerank,Positive Regulation Of Peptidyl-Tyrosine Phosphorylation (GO:0050731),0.907761793012156,1.5445943848787675,2.773925e-03,1.387717e-01,1.540000e-01,1/7,1.00%,ANGPT4
prerank,Negative Regulation Of Cell Population Proliferation (GO:0008285),0.8591443960226576,1.504125721865132,9.138381e-03,2.221929e-01,3.330000e-01,4/9,13.60%,MYOCD;ACVR1C;PROX1;VIP
prerank,Apoptotic Process (GO:0006915),0.906640990540722,1.5026451960061935,2.724796e-03,1.731682e-01,3.400000e-01,1/7,4.20%,CASP12
prerank,Negative Regulation Of Endopeptidase Activity (GO:0010951),-0.7184926357440861,-1.4626604144109574,1.010830e-01,6.720224e-01,8.080000e-01,5/7,21.40%,CST1;CST4;CST2;SERPINA9;MT3
prerank,Negative Regulation Of Cellular Process (GO:0048523),0.8609403144301853,1.4409969745232052,8.356546e-03,4.189246e-01,6.560000e-01,2/7,9.40%,MYOCD;PROX1
prerank,Positive Regulation Of Protein Serine/Threonine Kinase Activity (GO:0071902),0.890432467788184,1.3979807283068757,2.567760e-02,6.598577e-01,8.440000e-01,1/5,9.40%,PROX1
prerank,Negative Regulation Of Nucleic Acid-Templated Transcription (GO:1903507),0.8286500373586427,1.3825768628498454,3.819918e-02,7.008058e-01,8.890000e-01,3/7,12.40%,PRDM16;PROX1;RUNX1T1
prerank,Proteolysis (GO:0006508),0.7675594784675877,1.380878125611148,4.135338e-02,6.243246e-01,8.930000e-01,4/11,6.80%,CPA1;TRHDE;PAPPA2;PGA3
prerank,Cellular Response To Peptide Hormone Stimulus (GO:0071375),0.8158283368142041,1.3808508378665172,5.953992e-02,5.549552e-01,8.930000e-01,4/7,11.00%,SLC2A4;CRHBP;CPEB1;LHCGR
prerank,Regulation Of Cell Population Proliferation (GO:0042127),0.681395091665765,1.3637939294028432,5.575326e-02,6.119004e-01,9.260000e-01,4/17,20.40%,MYOCD;PROX1;VIP;GLP2R
prerank,Central Nervous System Development (GO:0007417),0.7369904374190518,1.3579967361119896,4.981320e-02,5.913164e-01,9.390000e-01,3/11,11.80%,GRIK1;PROX1;CNTN6
prerank,Chemical Synaptic Transmission (GO:0007268),0.6779005907352106,1.356432820485346,6.559264e-02,5.519241e-01,9.410000e-01,6/18,9.20%,DLGAP2;RIMBP2;NRXN1;CRHBP;GRIK1;KCNIP2
