Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Human papillomavirus infection,0.9355224310301196,1.6622135408734684,9.237875e-03,7.497266e-02,9.000000e-02,2/5,6.60%,IBSP;TERT
prerank,Calcium signaling pathway,-0.831927413756381,-1.5200974656870996,1.286174e-02,5.167390e-01,2.730000e-01,3/8,9.80%,ADRA1A;TRDN;NOS1
prerank,cGMP-PKG signaling pathway,-0.8002478490437928,-1.402178860942558,5.892256e-02,1.000000e+00,6.950000e-01,1/6,1.00%,ADRA1A
prerank,Pancreatic secretion,-0.7293807232471532,-1.3474318873015743,8.306709e-02,1.000000e+00,8.340000e-01,3/8,15.00%,CPA1;CPA2;SCTR
prerank,Rap1 signaling pathway,-0.7846349049173087,-1.3227279107191428,1.203252e-01,1.000000e+00,8.800000e-01,1/5,1.20%,ANGPT4
prerank,Vascular smooth muscle contraction,-0.7281862468919054,-1.3094090178429851,1.411765e-01,9.822962e-01,9.050000e-01,1/7,1.00%,ADRA1A
prerank,AMPK signaling pathway,-0.7765743443719952,-1.2935897420654048,1.542461e-01,9.118802e-01,9.320000e-01,3/5,9.20%,ADRA1A;GYS2;SLC2A4
prerank,Cell adhesion molecules,-0.7682252286938319,-1.2731570254615148,1.626298e-01,9.006022e-01,9.620000e-01,2/5,18.00%,NRXN1;NCAM1
prerank,Inflammatory bowel disease,0.7496141351121762,1.2678607241636262,2.135417e-01,1.000000e+00,9.180000e-01,3/5,25.20%,IL12B;IL21R;FOXP3
prerank,Proteoglycans in cancer,-0.7655808556230139,-1.261477034854486,1.785095e-01,8.515428e-01,9.630000e-01,1/5,0.60%,HPSE2
prerank,Viral protein interaction with cytokine and cytokine receptor,-0.6351355925690712,-1.2541477328731316,1.800948e-01,7.927432e-01,9.710000e-01,1/10,0.80%,CCL16
prerank,Chemokine signaling pathway,-0.6351463363496131,-1.2296117293420046,2.133758e-01,8.164476e-01,9.800000e-01,1/9,0.80%,CCL16
prerank,Insulin resistance,-0.7380894281109729,-1.2176424835589104,2.298456e-01,7.917739e-01,9.820000e-01,4/5,21.00%,GYS2;SLC2A4;PYGM;CD36
