Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,G2-M Checkpoint,0.9063136456211814,1.9873832842429808,1.000000e-03,1.000000e-03,1.000000e-03,9/9,11.00%,KIF4A;TROAP;NEK2;EXO1;CENPA;BIRC5;PBK;CDC45;AURKB
prerank,E2F Targets,0.9026369168356995,1.80470443226048,2.941176e-03,1.224105e-02,1.300000e-02,7/7,11.00%,SPC24;KIF4A;MELK;KIF18B;BIRC5;DLGAP5;AURKB
prerank,Allograft Rejection,0.6663822275064974,1.4226573066910833,1.114650e-01,1.983679e-01,2.610000e-01,1/9,2.60%,CCL11
prerank,Myogenesis,-0.7707987010478776,-1.4194040529263687,4.700855e-02,1.931318e-01,2.790000e-01,6/8,23.20%,MYOM1;PYGM;CD36;NCAM1;NOS1;MYH2
prerank,IL-2/STAT5 Signaling,0.7072970282101361,1.286619743642173,2.115385e-01,2.923729e-01,4.400000e-01,2/5,18.20%,TNFRSF18;TNFRSF9
prerank,Spermatogenesis,0.5415894084081403,1.241235595365602,1.992883e-01,2.681733e-01,4.900000e-01,4/11,16.40%,CNIH2;NEK2;TNNI3;TUBA3C
prerank,Inflammatory Response,-0.5561892646533086,-1.0685907572420654,4.016506e-01,8.241855e-01,9.400000e-01,2/10,19.60%,GPC3;VIP
prerank,IL-6/JAK/STAT3 Signaling,-0.5565305924978952,-0.911759035511946,6.317512e-01,8.157715e-01,9.890000e-01,1/5,10.40%,CD36
prerank,Complement,-0.5316120877574192,-0.9011134298995244,6.357928e-01,6.238626e-01,9.890000e-01,2/5,10.60%,CD36;KCNIP2
prerank,KRAS Signaling Dn,0.2238193018480493,0.5544599557616076,9.962547e-01,9.642185e-01,9.570000e-01,13/13,78.20%,HTR1D;TNNI3;NPHS1;IL12B;PDCD1;TCL1A;SLC12A3;CD207;SLC6A3;PLAG1;EPHA5;CPA2;NOS1
