Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Cell Cycle R-HSA-1640170,-0.8212619284649755,-1.7641316715200646,1.000000e-03,5.766621e-02,5.000000e-02,6/10,12.40%,SPC24;CDC25C;MND1;TERT;TUBA4B;ARTN
prerank,Generic Transcription Pathway R-HSA-212436,-0.7464462453225145,-1.6129849374816694,3.211009e-02,1.126894e-01,2.840000e-01,4/11,12.40%,MMP13;CDC25C;E2F8;ARTN
prerank,Gene Expression (Transcription) R-HSA-74160,-0.7464462453225145,-1.6129849374816694,3.211009e-02,1.126894e-01,2.840000e-01,4/11,12.40%,MMP13;CDC25C;E2F8;ARTN
prerank,RNA Polymerase II Transcription R-HSA-73857,-0.7464462453225145,-1.6129849374816694,3.211009e-02,1.126894e-01,2.840000e-01,4/11,12.40%,MMP13;CDC25C;E2F8;ARTN
prerank,"Cell Cycle, Mitotic R-HSA-69278",-0.7878197373025376,-1.5805133609122615,5.138340e-02,1.209068e-01,3.570000e-01,3/7,11.60%,SPC24;CDC25C;TUBA4B
prerank,Cytokine Signaling In Immune System R-HSA-1280215,-0.644717682978723,-1.5121216661233337,5.978261e-02,1.792458e-01,5.200000e-01,3/13,19.40%,CCL11;TNFRSF9;IL9R
prerank,Signaling By WNT R-HSA-195721,-0.7732423797296739,-1.462873344603346,9.310345e-02,2.122666e-01,6.230000e-01,3/6,10.40%,KREMEN2;PROC;TERT
prerank,Metabolism R-HSA-1430728,0.6452887049591918,1.4492158426726989,1.280683e-02,9.812517e-01,4.500000e-01,15/42,19.60%,HPSE2;APOB;RIMBP2;HSD17B13;ASPA;KCNB1;PYGM;ACSM5;LYVE1;GYS2;DMGDH;HPD;PCDHGA5;BCHE;CYP3A4
prerank,Hemostasis R-HSA-109582,0.7455989323469275,1.441812194289916,1.925391e-02,5.543566e-01,4.910000e-01,3/16,2.80%,ANGPT4;APOB;MMRN1
prerank,Mitotic Metaphase And Anaphase R-HSA-2555396,-0.747527571453127,-1.421374568286199,1.390977e-01,1.902024e-01,7.030000e-01,4/6,22.40%,SPC24;TUBA4B;TUBB8;TUBA3C
