Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,cluster,gene_set,pathway_group
prerank,G2-M Checkpoint,0.8492871690427699,1.7386826764236714,0.002652519893899204,0.02371644513943185,0.013,9/9,16.60%,TROAP;NEK2;CENPA;KIF4A;EXO1;CDC45;PBK;AURKB;BIRC5,0,MSigDB_Hallmark_2020,cell_cycle
prerank,E2F Targets,0.8417849898580122,1.6099950768985638,0.022670025188916875,0.05290591608027105,0.056,7/7,17.00%,SPC24;KIF4A;KIF18B;MELK;AURKB;BIRC5;DLGAP5,0,MSigDB_Hallmark_2020,cell_cycle
prerank,Myogenesis,-0.7846205976612961,-1.446188754553858,0.04983388704318937,0.1275352912542593,0.233,6/8,21.00%,NOS1;MYH2;PYGM;MYOM1;NCAM1;CD36,0,MSigDB_Hallmark_2020,other
prerank,Allograft Rejection,0.6906304471090491,1.4013570583418156,0.10133333333333333,0.23047519763704286,0.309,1/9,3.60%,CCL11,0,MSigDB_Hallmark_2020,other
prerank,Human papillomavirus infection,0.9355224310301196,1.6622135408734684,0.009237875288683603,0.07497265586158894,0.09,2/5,6.60%,IBSP;TERT,0,KEGG_2021_Human,inflammation
prerank,Cell Cycle R-HSA-1640170,0.781751690530325,1.8713475093768885,0.001,0.006423409760014274,0.004,15/18,18.60%,SPC24;TERT;TUBA3C;TUBA4B;CDC25C;NUF2;PKMYT1;NEK2;CENPA;EXO1;CDC45;MND1;AURKB;BIRC5;ARTN,0,Reactome_2022,cell_cycle
prerank,"Cell Cycle, Mitotic R-HSA-69278",0.7796607376153977,1.756994421889722,0.001,0.028905343920064237,0.043,11/14,16.60%,SPC24;TUBA3C;TUBA4B;CDC25C;NUF2;PKMYT1;NEK2;CENPA;CDC45;AURKB;BIRC5,0,Reactome_2022,cell_cycle
prerank,Cell Cycle Checkpoints R-HSA-69620,0.8306122448979594,1.7122303293068493,0.005305039787798408,0.03746989026674993,0.074,10/10,18.60%,SPC24;CDC25C;NUF2;PKMYT1;CENPA;EXO1;CDC45;AURKB;BIRC5;ARTN,0,Reactome_2022,cell_cycle
prerank,Signaling By Rho GTPases R-HSA-194315,0.8475609756097564,1.6586064396417999,0.005434782608695652,0.051387278080114195,0.149,8/8,16.60%,SPC24;CDC25C;NUF2;DEPDC1B;CENPA;KIF14;AURKB;BIRC5,0,Reactome_2022,other
prerank,"Signaling By Rho GTPases, Miro GTPases And RHOBTB3 R-HSA-9716542",0.8475609756097564,1.6586064396417999,0.005434782608695652,0.051387278080114195,0.149,8/8,16.60%,SPC24;CDC25C;NUF2;DEPDC1B;CENPA;KIF14;AURKB;BIRC5,0,Reactome_2022,other
prerank,M Phase R-HSA-68886,0.7536263420457603,1.638049310235005,0.01466275659824047,0.057810687840128466,0.19,8/11,16.60%,SPC24;TUBA3C;TUBA4B;NUF2;NEK2;CENPA;AURKB;BIRC5,0,Reactome_2022,other
prerank,Metabolism R-HSA-1430728,-0.6424183874544912,-1.625643833701244,0.0014104372355430183,0.136126749516323,0.095,19/41,22.00%,HPSE2;APOB;HSD17B13;RIMBP2;GYS2;ASPA;CYP3A4;HPD;PYGM;ALAS2;NAALAD2;GPC3;ACSM5;LYVE1;DMGDH;BCHE;CD36;PCDHGA5;NMNAT2,0,Reactome_2022,other
prerank,Generic Transcription Pathway R-HSA-212436,0.7193535293795488,1.6159656888944367,0.0169971671388102,0.052457846373449905,0.248,9/13,25.20%,MMP13;CDC25C;EXO1;AURKB;BIRC5;ARTN;E2F7;TNFRSF18;FOXP3,0,Reactome_2022,other
prerank,Gene Expression (Transcription) R-HSA-74160,0.7193535293795488,1.6159656888944367,0.0169971671388102,0.052457846373449905,0.248,9/13,25.20%,MMP13;CDC25C;EXO1;AURKB;BIRC5;ARTN;E2F7;TNFRSF18;FOXP3,0,Reactome_2022,other
prerank,RNA Polymerase II Transcription R-HSA-73857,0.7193535293795488,1.6159656888944367,0.0169971671388102,0.052457846373449905,0.248,9/13,25.20%,MMP13;CDC25C;EXO1;AURKB;BIRC5;ARTN;E2F7;TNFRSF18;FOXP3,0,Reactome_2022,other
prerank,RHO GTPase Effectors R-HSA-195258,0.8458417849898582,1.5980159574712718,0.013227513227513227,0.06070122223213489,0.308,7/7,16.60%,SPC24;CDC25C;NUF2;CENPA;KIF14;AURKB;BIRC5,0,Reactome_2022,other
prerank,Mitotic Metaphase And Anaphase R-HSA-2555396,0.7431465190679053,1.5704306177244924,0.03488372093023256,0.06771344455348381,0.376,7/10,16.60%,SPC24;TUBA3C;TUBA4B;NUF2;CENPA;AURKB;BIRC5,0,Reactome_2022,cell_cycle
prerank,Mitotic Anaphase R-HSA-68882,0.7431465190679053,1.5704306177244924,0.03488372093023256,0.06771344455348381,0.376,7/10,16.60%,SPC24;TUBA3C;TUBA4B;NUF2;CENPA;AURKB;BIRC5,0,Reactome_2022,cell_cycle
prerank,Mitotic Prometaphase R-HSA-68877,0.8441295546558705,1.5401576615807648,0.02666666666666667,0.08622192331711469,0.481,6/6,16.60%,SPC24;NUF2;NEK2;CENPA;AURKB;BIRC5,0,Reactome_2022,cell_cycle
prerank,Transcriptional Regulation By TP53 R-HSA-3700989,0.8171927362000745,1.535952643648814,0.029850746268656716,0.0843454876820922,0.495,6/7,19.20%,CDC25C;EXO1;AURKB;BIRC5;ARTN;E2F7,0,Reactome_2022,senescence
prerank,Signaling By WNT R-HSA-195721,0.8378416182928405,1.514898306113387,0.03712871287128713,0.09663663127843695,0.552,3/6,7.40%,PROC;TERT;KREMEN2,0,Reactome_2022,stemness
prerank,RHO GTPases Activate Formins R-HSA-5663220,0.8424242424242424,1.4505426242782333,0.0636604774535809,0.1158762728929559,0.72,5/5,16.60%,SPC24;NUF2;CENPA;AURKB;BIRC5,0,Reactome_2022,other
prerank,Unattached Kinetochores Signal Amplification Via A MAD2 Inhibitory Signal R-HSA-141444,0.8424242424242424,1.4505426242782333,0.0636604774535809,0.1158762728929559,0.72,5/5,16.60%,SPC24;NUF2;CENPA;AURKB;BIRC5,0,Reactome_2022,other
prerank,Resolution Of Sister Chromatid Cohesion R-HSA-2500257,0.8424242424242424,1.4505426242782333,0.0636604774535809,0.1158762728929559,0.72,5/5,16.60%,SPC24;NUF2;CENPA;AURKB;BIRC5,0,Reactome_2022,other
prerank,EML4 And NUDC In Mitotic Spindle Formation R-HSA-9648025,0.8424242424242424,1.4505426242782333,0.0636604774535809,0.1158762728929559,0.72,5/5,16.60%,SPC24;NUF2;CENPA;AURKB;BIRC5,0,Reactome_2022,cell_cycle
prerank,Separation Of Sister Chromatids R-HSA-2467813,0.8424242424242424,1.4505426242782333,0.0636604774535809,0.1158762728929559,0.72,5/5,16.60%,SPC24;NUF2;CENPA;AURKB;BIRC5,0,Reactome_2022,other
prerank,Mitotic Spindle Checkpoint R-HSA-69618,0.8424242424242424,1.4505426242782333,0.0636604774535809,0.1158762728929559,0.72,5/5,16.60%,SPC24;NUF2;CENPA;AURKB;BIRC5,0,Reactome_2022,cell_cycle
prerank,Diseases Of Signal Transduction By Growth Factor Receptors And Second Messengers R-HSA-5663202,0.7096982539234109,1.389485395693419,0.12144702842377261,0.16910112815189093,0.842,2/8,7.40%,PROC;KREMEN2,0,Reactome_2022,other
prerank,G2/M Checkpoints R-HSA-69481,0.8222222222222223,1.3818480478782265,0.1152073732718894,0.16961525482240591,0.852,5/5,18.60%,CDC25C;PKMYT1;EXO1;CDC45;ARTN,0,Reactome_2022,cell_cycle
prerank,G2-M Checkpoint,-0.8492871690427698,-1.7013151889811464,0.005,0.0364109232769831,0.020387359836901122,9/9,16.80%,TROAP;NEK2;CENPA;KIF4A;EXO1;CDC45;PBK;AURKB;BIRC5,1,MSigDB_Hallmark_2020,cell_cycle
prerank,E2F Targets,-0.8417849898580122,-1.555205595892624,0.02512562814070352,0.10832249674902471,0.109072375127421,7/7,17.20%,SPC24;KIF4A;KIF18B;MELK;AURKB;BIRC5;DLGAP5,1,MSigDB_Hallmark_2020,cell_cycle
prerank,Myogenesis,0.784620597661296,1.4375967358412964,0.04643449419568822,0.13501218521527214,0.228,6/8,20.80%,NOS1;MYH2;PYGM;MYOM1;NCAM1;CD36,1,MSigDB_Hallmark_2020,other
prerank,Human papillomavirus infection,-0.9355224310301196,-1.6234796996294107,0.0025575447570332483,0.1537690457097033,0.165,2/5,6.80%,IBSP;TERT,1,KEGG_2021_Human,inflammation
